id,date,description,type,amount,category
1,2025-01-01,Rent Payment,withdrawal,1500.00,Housing
2,2025-01-01,Spotify Premium,withdrawal,10.99,Subscription
3,2025-01-01,Planet Fitness,withdrawal,24.99,Health
4,2025-01-02,Starbucks #5542,withdrawal,6.45,Coffee
5,2025-01-02,Safeway,withdrawal,89.30,Groceries
6,2025-01-03,Paycheck Deposit,deposit,3000.00,Income
7,2025-01-03,Apple Store,withdrawal,25.00,Shopping
8,2025-01-04,Chevron Gas,withdrawal,45.50,Transport
9,2025-01-04,In-N-Out Burger,withdrawal,15.80,Food
10,2025-01-05,City Electric Utilities,withdrawal,142.20,Utilities
11,2025-01-05,Amazon Purchase,withdrawal,34.99,Shopping
12,2025-01-06,Philz Coffee,withdrawal,5.50,Coffee
13,2025-01-06,Lunch Cafe,withdrawal,14.00,Food
14,2025-01-07,Trader Joe's,withdrawal,65.15,Groceries
15,2025-01-08,Uber Trip,withdrawal,18.50,Transport
16,2025-01-08,Gym Supplements,withdrawal,40.00,Health
17,2025-01-09,Parking Meter,withdrawal,4.50,Transport
18,2025-01-10,Netflix,withdrawal,15.99,Subscription
19,2025-01-10,Local Tap House,withdrawal,45.00,Food
20,2025-01-11,Target,withdrawal,78.20,Shopping
21,2025-01-11,CVS Pharmacy,withdrawal,22.40,Health
22,2025-01-11,Dog Food,withdrawal,45.00,Shopping
23,2025-01-12,IKEA,withdrawal,145.00,Shopping
24,2025-01-13,Blue Bottle Coffee,withdrawal,7.00,Coffee
25,2025-01-13,Cloud Storage,withdrawal,2.99,Subscription
26,2025-01-14,Taco Truck,withdrawal,12.00,Food
27,2025-01-15,Xfinity Internet,withdrawal,79.99,Utilities
28,2025-01-15,Whole Foods,withdrawal,112.50,Groceries
29,2025-01-16,Shell Gas,withdrawal,48.00,Transport
30,2025-01-17,Paycheck Deposit,deposit,3000.00,Income
31,2025-01-17,AMC Theatres,withdrawal,32.50,Entertainment
32,2025-01-17,Sweetgreen,withdrawal,14.95,Food
33,2025-01-18,Amazon Purchase,withdrawal,55.00,Shopping
34,2025-01-19,HBO Max,withdrawal,14.99,Subscription
35,2025-01-20,Verizon Wireless,withdrawal,92.50,Utilities
36,2025-01-20,Peet's Coffee,withdrawal,6.25,Coffee
37,2025-01-21,Uber Eats,withdrawal,28.40,Food
38,2025-01-21,Barber Shop,withdrawal,35.00,Services
39,2025-01-22,Dentist Co-Pay,withdrawal,50.00,Health
40,2025-01-23,Safeway,withdrawal,55.90,Groceries
41,2025-01-24,Steam Games,withdrawal,49.99,Entertainment
42,2025-01-24,Yoga Class Drop-in,withdrawal,20.00,Health
43,2025-01-25,State Farm Insurance,withdrawal,110.00,Insurance
44,2025-01-25,Chevron Gas,withdrawal,46.20,Transport
45,2025-01-26,Brunch Cafe,withdrawal,35.00,Food
46,2025-01-27,Corner Store,withdrawal,15.50,Groceries
47,2025-01-28,Starbucks #5542,withdrawal,5.95,Coffee
48,2025-01-29,Bus Pass,withdrawal,60.00,Transport
49,2025-01-30,Trader Joe's,withdrawal,82.40,Groceries
50,2025-01-30,Magazine Subscription,withdrawal,12.00,Subscription
51,2025-01-31,Paycheck Deposit,deposit,3000.00,Income
52,2025-01-31,Lyft Ride,withdrawal,21.00,Transport
53,2025-02-01,Rent Payment,withdrawal,1500.00,Housing
54,2025-02-01,Spotify Premium,withdrawal,10.99,Subscription
55,2025-02-01,Planet Fitness,withdrawal,24.99,Health
56,2025-02-02,Amazon Purchase,withdrawal,22.99,Shopping
57,2025-02-03,Dunkin' Donuts,withdrawal,4.50,Coffee
58,2025-02-04,Whole Foods,withdrawal,95.60,Groceries
59,2025-02-05,City Electric Utilities,withdrawal,135.50,Utilities
60,2025-02-06,Shell Gas,withdrawal,44.00,Transport
61,2025-02-06,Cold Medicine,withdrawal,18.00,Health
62,2025-02-07,Local Thai Restaurant,withdrawal,52.00,Food
63,2025-02-08,Target,withdrawal,105.30,Shopping
64,2025-02-08,AMC Theatres,withdrawal,28.00,Entertainment
65,2025-02-09,Flower Shop,withdrawal,45.00,Shopping
66,2025-02-10,Netflix,withdrawal,15.99,Subscription
67,2025-02-11,Philz Coffee,withdrawal,6.00,Coffee
68,2025-02-12,Safeway,withdrawal,78.25,Groceries
69,2025-02-12,Cat Litter,withdrawal,20.00,Shopping
70,2025-02-13,Parking Garage,withdrawal,20.00,Transport
71,2025-02-13,Cloud Storage,withdrawal,2.99,Subscription
72,2025-02-14,Paycheck Deposit,deposit,3000.00,Income
73,2025-02-14,Fancy Steakhouse,withdrawal,150.00,Food
74,2025-02-14,Uber Trip,withdrawal,35.00,Transport
75,2025-02-15,Xfinity Internet,withdrawal,79.99,Utilities
76,2025-02-15,Valentine Chocolates,withdrawal,40.00,Shopping
77,2025-02-16,Chevron Gas,withdrawal,47.50,Transport
78,2025-02-17,Bookstore,withdrawal,32.40,Shopping
79,2025-02-18,CVS Pharmacy,withdrawal,15.99,Health
80,2025-02-19,Trader Joe's,withdrawal,68.90,Groceries
81,2025-02-19,HBO Max,withdrawal,14.99,Subscription
82,2025-02-20,Verizon Wireless,withdrawal,92.50,Utilities
83,2025-02-21,DoorDash,withdrawal,42.50,Food
84,2025-02-21,Vitamins,withdrawal,35.00,Health
85,2025-02-22,Best Buy,withdrawal,199.99,Shopping
86,2025-02-23,Starbucks #5542,withdrawal,7.15,Coffee
87,2025-02-24,Dry Cleaners,withdrawal,35.00,Services
88,2025-02-25,State Farm Insurance,withdrawal,110.00,Insurance
89,2025-02-25,Tacos,withdrawal,12.50,Food
90,2025-02-26,Whole Foods,withdrawal,88.40,Groceries
91,2025-02-27,Lyft Ride,withdrawal,19.50,Transport
92,2025-02-28,Paycheck Deposit,deposit,3000.00,Income
93,2025-02-28,Local Pub,withdrawal,38.00,Food
94,2025-03-01,Rent Payment,withdrawal,1500.00,Housing
95,2025-03-01,Spotify Premium,withdrawal,10.99,Subscription
96,2025-03-01,Planet Fitness,withdrawal,24.99,Health
97,2025-03-02,Peet's Coffee,withdrawal,6.50,Coffee
98,2025-03-03,Safeway,withdrawal,110.00,Groceries
99,2025-03-04,Hardware Store,withdrawal,28.75,Shopping
100,2025-03-05,City Electric Utilities,withdrawal,120.00,Utilities
101,2025-03-06,Shell Gas,withdrawal,49.00,Transport
102,2025-03-07,Chipotle,withdrawal,13.25,Food
103,2025-03-07,New Running Shoes,withdrawal,110.00,Shopping
104,2025-03-08,Amazon Purchase,withdrawal,45.99,Shopping
105,2025-03-08,Women's Day Donation,withdrawal,50.00,Services
106,2025-03-09,Uber Eats,withdrawal,31.00,Food
107,2025-03-10,Netflix,withdrawal,15.99,Subscription
108,2025-03-11,Blue Bottle Coffee,withdrawal,6.75,Coffee
109,2025-03-12,Trader Joe's,withdrawal,75.50,Groceries
110,2025-03-13,Post Office,withdrawal,18.90,Services
111,2025-03-13,Cloud Storage,withdrawal,2.99,Subscription
112,2025-03-14,Paycheck Deposit,deposit,3000.00,Income
113,2025-03-14,Cinema 16,withdrawal,26.00,Entertainment
114,2025-03-15,Xfinity Internet,withdrawal,79.99,Utilities
115,2025-03-15,Chevron Gas,withdrawal,51.20,Transport
116,2025-03-15,Vet Checkup,withdrawal,85.00,Services
117,2025-03-16,Bakery,withdrawal,22.50,Food
118,2025-03-17,Whole Foods,withdrawal,92.80,Groceries
119,2025-03-18,Walgreens,withdrawal,28.50,Health
120,2025-03-19,HBO Max,withdrawal,14.99,Subscription
121,2025-03-20,Verizon Wireless,withdrawal,92.50,Utilities
122,2025-03-21,Sushi House,withdrawal,65.00,Food
123,2025-03-22,Target,withdrawal,85.00,Shopping
124,2025-03-22,Spring Cleaning Supplies,withdrawal,30.00,Groceries
125,2025-03-23,Starbucks #9901,withdrawal,5.45,Coffee
126,2025-03-24,Lyft Ride,withdrawal,24.00,Transport
127,2025-03-25,State Farm Insurance,withdrawal,110.00,Insurance
128,2025-03-25,Therapy Session,withdrawal,150.00,Health
129,2025-03-26,Safeway,withdrawal,68.40,Groceries
130,2025-03-27,Car Wash,withdrawal,15.00,Transport
131,2025-03-28,Paycheck Deposit,deposit,3000.00,Income
132,2025-03-28,Local Brewery,withdrawal,42.00,Food
133,2025-03-29,H&M,withdrawal,75.00,Shopping
134,2025-03-30,Farmers Market,withdrawal,45.00,Groceries
135,2025-03-31,Shell Gas,withdrawal,48.80,Transport
136,2025-04-01,Rent Payment,withdrawal,1500.00,Housing
137,2025-04-01,Spotify Premium,withdrawal,10.99,Subscription
138,2025-04-01,Planet Fitness,withdrawal,24.99,Health
139,2025-04-02,Philz Coffee,withdrawal,5.75,Coffee
140,2025-04-03,Pharmacy,withdrawal,10.50,Health
141,2025-04-04,Trader Joe's,withdrawal,85.90,Groceries
142,2025-04-05,City Electric Utilities,withdrawal,105.40,Utilities
143,2025-04-05,Amazon Purchase,withdrawal,28.99,Shopping
144,2025-04-06,Garden Center,withdrawal,65.00,Shopping
145,2025-04-07,Chevron Gas,withdrawal,50.50,Transport
146,2025-04-08,Sweetgreen,withdrawal,15.50,Food
147,2025-04-09,Parking Meter,withdrawal,3.75,Transport
148,2025-04-10,Netflix,withdrawal,15.99,Subscription
149,2025-04-10,Allergy Medicine,withdrawal,22.00,Health
150,2025-04-11,Paycheck Deposit,deposit,3000.00,Income
151,2025-04-11,Whole Foods,withdrawal,105.00,Groceries
152,2025-04-12,Ticketmaster,withdrawal,120.00,Entertainment
153,2025-04-12,Uber Trip,withdrawal,45.00,Transport
154,2025-04-13,Ice Cream Shop,withdrawal,9.50,Food
155,2025-04-13,Cloud Storage,withdrawal,2.99,Subscription
156,2025-04-14,Starbucks #5542,withdrawal,6.25,Coffee
157,2025-04-15,Xfinity Internet,withdrawal,79.99,Utilities
158,2025-04-15,TurboTax,withdrawal,89.99,Services
159,2025-04-16,Office Supplies,withdrawal,42.30,Shopping
160,2025-04-17,Safeway,withdrawal,72.60,Groceries
161,2025-04-17,Tax Prep Fees,withdrawal,120.00,Services
162,2025-04-18,Pizza My Heart,withdrawal,32.00,Food
163,2025-04-18,Pet Toys,withdrawal,30.00,Shopping
164,2025-04-19,Home Depot,withdrawal,65.75,Shopping
165,2025-04-19,HBO Max,withdrawal,14.99,Subscription
166,2025-04-20,Verizon Wireless,withdrawal,92.50,Utilities
167,2025-04-21,Peet's Coffee,withdrawal,6.95,Coffee
168,2025-04-22,Shell Gas,withdrawal,52.00,Transport
169,2025-04-22,Earth Day Donation,withdrawal,25.00,Services
170,2025-04-23,Tailor,withdrawal,25.00,Services
171,2025-04-24,Trader Joe's,withdrawal,66.40,Groceries
172,2025-04-25,Paycheck Deposit,deposit,3000.00,Income
173,2025-04-25,State Farm Insurance,withdrawal,110.00,Insurance
174,2025-04-25,Local Tap House,withdrawal,55.00,Food
175,2025-04-26,Shoe Repair,withdrawal,18.00,Services
176,2025-04-27,CVS Pharmacy,withdrawal,18.25,Health
177,2025-04-28,Uber Eats,withdrawal,29.50,Food
178,2025-04-28,Massage,withdrawal,85.00,Health
179,2025-04-30,Amazon Purchase,withdrawal,42.00,Shopping
180,2025-05-01,Rent Payment,withdrawal,1500.00,Housing
181,2025-05-01,Spotify Premium,withdrawal,10.99,Subscription
182,2025-05-01,Planet Fitness,withdrawal,24.99,Health
183,2025-05-02,Dunkin' Donuts,withdrawal,5.25,Coffee
184,2025-05-03,Whole Foods,withdrawal,98.40,Groceries
185,2025-05-04,Sporting Goods,withdrawal,85.00,Shopping
186,2025-05-05,City Electric Utilities,withdrawal,115.00,Utilities
187,2025-05-05,Cinco De Mayo Drinks,withdrawal,45.00,Food
188,2025-05-06,Chevron Gas,withdrawal,53.50,Transport
189,2025-05-07,In-N-Out Burger,withdrawal,16.50,Food
190,2025-05-08,Parking Garage,withdrawal,22.00,Transport
191,2025-05-09,Paycheck Deposit,deposit,3000.00,Income
